business_category,business_vertical,urgency,ticket_size,maturity
dentists,dental,high,high,medium
generaldentistry,dental,high,high,medium
cosmeticdentists,dental,high,high,high
orthodontists,dental,high,high,high
oralsurgeons,dental,high,high,high
lawyers,legal,high,high,high
criminaldefense,legal,high,high,high
personalinjury,legal,high,high,high
estateplanning,legal,medium,high,high
taxlaw,legal,medium,high,high
familylaw,legal,high,high,high
businesslaw,legal,medium,high,high
restaurants,restaurant,medium,medium,low
newamerican,restaurant,medium,medium,low
italian,restaurant,medium,medium,low
mexican,restaurant,medium,low,low
chinese,restaurant,medium,low,low
japanese,restaurant,medium,medium,low
french,restaurant,medium,high,medium
steakhouses,restaurant,medium,high,medium
seafood,restaurant,medium,medium,low
cafes,restaurant,low,low,low
bars,restaurant,low,medium,low
pizza,restaurant,low,low,low
burgers,restaurant,low,low,low
sandwiches,restaurant,low,low,low
hvac,home_services,high,high,medium
plumbing,home_services,high,medium,medium
electricians,home_services,high,medium,medium
roofing,home_services,high,high,medium
landscaping,home_services,medium,medium,low
painters,home_services,medium,medium,low
homecleaning,home_services,low,low,low
handyman,home_services,medium,low,low
physicians,medical,high,high,high
internists,medical,high,high,high
familypractice,medical,high,high,high
pediatricians,medical,high,high,high
obgyn,medical,high,high,high
dermatologists,medical,high,high,high
psychiatrists,medical,high,high,high
orthopedists,medical,high,high,high
cardiologists,medical,high,high,high
ophthalmologists,medical,high,high,high
physicaltherapy,medical,medium,medium,medium
chiropractors,medical,medium,medium,medium
acupuncture,medical,medium,medium,low
medicalspa,medical,medium,high,medium
plasticsurgeons,medical,high,high,high
hair,beauty,low,low,low
hairsalons,beauty,low,medium,low
barbershops,beauty,low,low,low
nail_salons,beauty,low,low,low
skincare,beauty,medium,medium,medium
eyelashservice,beauty,low,medium,low
waxing,beauty,low,low,low
makeupartists,beauty,low,medium,low
spas,beauty,medium,high,medium
auto_repair,automotive,high,medium,medium
oilchange,automotive,low,low,low
tires,automotive,medium,medium,medium
autodetailing,automotive,low,medium,low
bodyshops,automotive,high,high,medium
transmissionrepair,automotive,high,high,medium
carwash,automotive,low,low,low
realestate,real_estate,medium,high,high
realestateagents,real_estate,medium,high,high
propertymgmt,real_estate,medium,medium,medium
mortgagebrokers,real_estate,medium,high,high
homeinspection,real_estate,high,medium,medium
gyms,fitness,low,medium,low
yoga,fitness,low,medium,low
pilates,fitness,low,medium,medium
personaltrainers,fitness,medium,medium,medium
martialarts,fitness,low,medium,low
crossfit,fitness,low,medium,medium
dancestudios,fitness,low,medium,low
accountants,financial,medium,high,high
taxservices,financial,high,medium,high
bookkeepers,financial,low,medium,medium
financialadvising,financial,medium,high,high
insurance,financial,medium,medium,high
banks,financial,low,medium,high
creditunions,financial,low,medium,medium
pet_services,pets,medium,medium,low
veterinarians,pets,high,medium,medium
petgrooming,pets,low,low,low
dogwalkers,pets,low,low,low
petboarding,pets,medium,medium,low
pettraining,pets,medium,medium,low